Pincode,QWIK GNG.,Del Serv.,Shadowfax Serv.,Bluedart Serv,Qwik HD.,Del HD.,City,State,Zone,GNG P1,HD P1
125060,InActive,Active,InActive,Active,InActive,Active,SIRSA,Haryana,NORTH,SJ93,SJ93
125075,InActive,Active,InActive,Active,InActive,Active,RANIA,Haryana,NORTH,SJ93,SJ93
125076,InActive,Active,InActive,Active,InActive,Active,RANIA,Haryana,NORTH,SJ93,SJ93
125077,InActive,Active,InActive,Active,InActive,Active,SIRSA,Haryana,NORTH,SJ93,SJ93
125078,InActive,Active,InActive,InActive,InActive,Active,SIRSA,Haryana,NORTH,SJ93,SJ93
125101,InActive,Active,InActive,Active,InActive,Active,SANGARIA,Haryana,NORTH,SJ93,S0CV
125102,InActive,Active,InActive,Active,InActive,Active,RANIA,Haryana,NORTH,SJ93,SJ93
125103,InActive,Active,InActive,Active,InActive,Active,RANIA,Haryana,NORTH,SJ93,SJ93
125104,InActive,Active,InActive,Active,InActive,Active,DABWALI,Haryana,NORTH,S0CV,S0CV
125106,InActive,Active,InActive,InActive,InActive,Active,BHUNA,Haryana,NORTH,SJ93,SJ93
125110,InActive,Active,InActive,InActive,InActive,Active,SIRSA,Haryana,NORTH,SJ93,SJ93
125111,InActive,Active,InActive,Active,InActive,Active,AKANWALI B.O,Haryana,NORTH,SJ93,SJ93
125112,InActive,Active,InActive,Active,Active,Active,BHUNA,Haryana,NORTH,SJ93,SJ93
125113,InActive,Active,InActive,Active,Active,Active,BHUNA,Haryana,NORTH,SJ93,SJ93
125120,InActive,Active,Active,Active,Active,Active,TOHANA,Haryana,NORTH,SJ93,SJ93
125121,Active,Active,InActive,Active,Active,Active,BARWALA,Haryana,NORTH,SJ93,SJ93
125133,InActive,Active,InActive,Active,InActive,Active,TOHANA,Haryana,NORTH,S0CV,S0CV
125201,InActive,Active,InActive,Active,InActive,Active,SIRSA,Haryana,NORTH,SJ93,SJ93
126101,Active,Active,InActive,Active,Active,Active,JIND,Haryana,NORTH,SJ93,SJ93
126102,Active,Active,InActive,Active,Active,Active,JIND,Haryana,NORTH,SJ93,SJ93
126110,Active,Active,InActive,Active,Active,Active,JIND,Haryana,NORTH,SJ93,SJ93
126111,Active,Active,InActive,Active,Active,Active,ASANDH,Haryana,NORTH,SJ93,SJ93
126112,Active,Active,InActive,Active,Active,Active,PILU KHERA,Haryana,NORTH,SJ93,SJ93
126113,Active,Active,InActive,Active,Active,Active,PILU KHERA,Haryana,NORTH,SJ93,SJ93
126114,Active,Active,InActive,Active,Active,Active,JIND,Haryana,NORTH,SJ93,SJ93
126115,Active,Active,InActive,Active,Active,Active,JIND,Haryana,NORTH,SJ93,SJ93
126116,Active,Active,InActive,Active,Active,Active,NARWANA,Haryana,NORTH,SJ93,SJ93
126125,Active,Active,InActive,Active,Active,Active,JIND,Haryana,NORTH,SJ93,SJ93
126152,Active,Active,InActive,Active,Active,Active,NARWANA,Haryana,NORTH,SJ93,SJ93
127021,InActive,Active,InActive,Active,InActive,Active,BHIWANI,Haryana,NORTH,SJ93,SJ93
127022,InActive,Active,InActive,Active,InActive,Active,CHARKHI DADRI,Haryana,NORTH,SJ93,SJ93
127025,InActive,Active,InActive,Active,InActive,Active,BHIWANI,Haryana,NORTH,SJ93,SJ93
127026,InActive,Active,InActive,Active,InActive,Active,CHARKHI DADRI,Haryana,NORTH,SJ93,SJ93
127027,InActive,Active,InActive,Active,Active,Active,BHIWANI,Haryana,NORTH,SJ93,SJ93
127028,InActive,Active,InActive,InActive,InActive,Active,BAHAL,Haryana,NORTH,SJ93,SJ93
127029,InActive,Active,InActive,InActive,InActive,Active,TOSHAM,Haryana,NORTH,SJ93,SJ93
